"Category","objects (x)","objects (y)","phrases (x)","phrases (y)","hashtags (x)","hashtags (y)","emojis (x)","emojis (y)","actions (x)","actions (y)","characteristics (x)","characteristics (y)"
"collection",0.8787878787878788,135,,,,,,,,,,
"#nostalgia",,,,,0.880794701986755,128,,,,,,
"💗",,,,,,,0.8853503184713376,215,,,,
"thing",0.8926829268292683,178,,,,,,,,,,
"😍",,,,,,,0.8931159420289855,466,,,,
"bears",,,,,,,,,0.9116022099447514,160,,
"toy",0.9151515151515152,144,,,,,,,,,,
"gift",0.9272727272727272,142,,,,,,,,,,
"#toycollector",,,,,0.9395973154362416,206,,,,,,
"walmart",0.9515151515151515,155,,,,,,,,,,
"#tiktokmademebuyit",,,,,0.9615384615384616,96,,,,,,
"#vintagegrungegirl",,,,,1.015625,121,,,,,,
"store",1.018181818181818,154,,,,,,,,,,
"#mylittlepony",,,,,1.0192307692307692,100,,,,,,
"#wickedmovie",,,,,1.0288461538461537,92,,,,,,
"share bear",,,1.0609756097560976,74,,,,,,,,
"#strawberryshortcake",,,,,1.079136690647482,147,,,,,,
"#crystalart",,,,,1.1153846153846154,112,,,,,,
"#vintage",,,,,1.1346153846153846,115,,,,,,
"#wicked",,,,,1.158878504672897,238,,,,,,
"christmas",1.1636363636363636,177,,,,,,,,,,
"wicked care bears",,,1.2972972972972974,92,,,,,,,,
"#blackfriday",,,,,1.3942307692307692,136,,,,,,
"#strangerthings",,,,,1.4615384615384617,146,,,,,,
"🎁",,,,,,,1.512396694214876,158,,,,
"#wickedforgood",,,,,1.6341463414634148,185,,,,,,
"stranger things",,,2.0136986301369864,143,,,,,,,,
"#christmas",,,,,2.1346153846153846,203,,,,,,
"🎄",,,,,,,2.8349514563106797,273,,,,
"#bearybestie",,,,,4.230769230769231,400,,,,,,
"💚",,,,,,,5.509838998211091,964,,,,
